[2025-10-04 21:28:01,694] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:01,736] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:28:01,819] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:02,126] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:02,126] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:02,127] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:02,216] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:02,229] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:02,488] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:02,521] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:02,537] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:28:02,736] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:02,761] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:19,287] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 5ms
[2025-10-04 21:28:19,288] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:19,288] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:19,289] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:28:19,289] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:28:19,290] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 3ms
[2025-10-04 21:28:19,290] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:19,291] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:28:19,291] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 15ms
[2025-10-04 21:28:19,292] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 5ms
[2025-10-04 21:28:19,292] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:28:19,293] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:28:19,293] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:19,294] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 5ms
[2025-10-04 21:28:19,294] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:19,294] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:28:19,295] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:19,315] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
